MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,RainTomorrow
8,24.3,0,3.4,6.3,Yes
14,26.9,3.6,4.4,9.7,Yes
13.7,23.4,3.6,5.8,3.3,Yes
13.3,15.5,39.8,7.2,9.1,Yes
7.6,16.1,2.8,5.6,10.6,No
6.2,16.9,0,5.8,8.2,No
6.1,18.2,0.2,4.2,8.4,No
8.3,17,0,5.6,4.6,No
8.8,19.5,0,4,4.1,Yes
8.4,22.8,16.2,5.4,7.7,No
9.1,25.2,0,4.2,11.9,No
8.5,27.3,0.2,7.2,12.5,No
10.1,27.9,0,7.2,13,No
12.1,30.9,0,6.2,12.4,No
10.1,31.2,0,8.8,13.1,No
12.4,32.1,0,8.4,11.1,No
13.8,31.2,0,7.2,8.4,Yes
11.7,30,1.2,7.2,10.1,No
12.4,32.3,0.6,7.4,13,No
15.6,33.4,0,8,10.4,No
15.3,33.4,0,8.8,9.5,No
16.4,19.4,0.4,9.2,0,Yes
12.8,18.5,25.8,2.8,0.6,No
12,24.3,0.4,1.2,7.5,No
15.4,28.4,0,4.4,8.1,No
15.6,26.9,0,6.8,8.9,No
13.3,22.2,0.2,6.6,2.3,No
12.9,28,0,4.4,10.7,No
15.1,24.3,0,7,0.4,No
13.6,24.1,0.4,2.6,0.5,Yes
15.1,20.4,22.6,2.4,0.2,Yes
11.6,26.3,4.2,1.6,12,No
16.6,24.2,0.2,6.6,4.7,Yes
13.3,26.5,6.6,3.8,11.8,No
14.5,21.8,0,8.4,9.8,No
16.3,26.8,0,6,6.3,No
17.2,25.8,0,4.2,8.8,Yes
16.5,28.2,4,4.2,8.8,No
15,29.4,0,6.6,11.1,No
14.9,24.8,0,10.4,10,No
11.8,18.5,0.6,4.8,2.3,No
11.7,21.5,0,4.2,7.3,No
9.6,20.3,0,5,3.6,No
8.9,27.1,0,4.4,12.7,No
10.1,29.9,0,6.8,8.8,Yes
15.5,21.1,5.4,6.4,0.9,Yes
10.8,21.7,1.4,2.8,10.6,No
7.5,20.9,0,6.6,8.7,No
12.8,21,0,6.4,0.8,Yes
12.6,23.1,3.4,1.6,2.3,Yes
14.8,29.5,6.4,1.8,8.1,Yes
19.9,22,11,4.4,5.9,Yes
9.2,20.4,17.4,7.8,10.2,No
12.4,24.4,0,6.2,12.1,Yes
11.3,21.7,3.4,8.2,5.6,No
9.8,26.3,0,5.2,13,No
14.3,26.7,0,7.2,7.1,Yes
15.1,28.3,14.4,8.8,13.2,No
14.4,31.6,0,6.6,13.6,No
15.4,35,0,9.6,13,No
13.8,33.5,0,11.4,13.6,No
13.6,34.2,0,8.8,12.8,No
14.3,35,0,7.6,10.5,No
15.9,23.4,0,12.6,2.2,No
16.7,25.3,0,6.2,12.5,No
12.1,27.5,0,7.4,11.7,No
14.3,34.1,0,6.6,10.5,No
16.5,33.9,0,9,12.6,No
16.5,30.3,0,10,8.1,No
17.5,29.9,0,6.6,8.8,No
14.7,34.2,0,6.6,12.8,No
17.5,35.8,0,9.4,13.3,No
20.9,35.7,0,13.8,6.9,Yes
17,33.8,2,9,13.5,No
16,22.8,0,12.4,6,No
15.4,33.8,0,5.2,11.1,No
17.9,33.2,0,10.4,8.4,Yes
15.2,25.1,4.8,6.4,11.6,No
15.1,20.4,0,9.6,0.1,Yes
15.3,19.6,18.8,5,0,Yes
17.2,24.7,12.2,1.4,8.1,No
